Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
fabritiocaroso|Fabritio Caroso|Caroso, Fabritio|(1530-1605/1620)|Caroso, Fabritio (1530-1605/1620)|Composer|Baroque|Caroso|Fabritio Caroso (1530-1605/1620)
fabriziofontana|Fabrizio Fontana|Fontana, Fabrizio|(d1695)|Fontana, Fabrizio (d1695)|Composer|Baroque|Fontana|Fontana, Fabrizio
facco|Giacomo Facco|Facco, Giacomo|(1676-1753)|Facco, Giacomo (1676-1753)|Composer|Classical|Facco|
faggioli|Michelangelo Faggioli|Faggioli, Michelangelo|(1666-1733)|Faggioli, Michelangelo (1666-1733)|Composer|Baroque|Faggioli|
fago|Francesco Nicola Fago|Fago, Francesco Nicola|(1677-1745)|Fago, Francesco Nicola (1677-1745)|Composer|Baroque|Fago|
falckenhagen|Adam Falckenhagen|Falckenhagen, Adam|(1697-1754)|Falckenhagen, Adam (1697-1754)|Composer|Classical|Falckenhagen|
falco|Michele Falco|Falco, Michele|(c1688-after 1732)|Falco, Michele (c1688-after 1732)|Composer|Baroque|Falco|
falconieri|Andrea Falconieri|Falconieri, Andrea|(1585-1656)|Falconieri, Andrea (1585-1656)|Composer|Baroque|Falconieri|
fall|Leo Fall|Fall, Leo|(1873-1925)|Fall, Leo (1873-1925)|Composer|Romantic|Fall|
falla|Manuel de Falla|Falla, Manuel de|(1876-1946)|Falla, Manuel de (1876-1946)|Composer|20th Century|Falla|
falvetti|Michelangelo Falvetti|Falvetti, Michelangelo|(1642-1692)|Falvetti, Michelangelo (1642-1692)|Composer|Baroque|Falvetti|
fannykrumpholtzpittar|Fanny Krumpholtz Pittar|Pittar, Fanny Krumpholtz|(1785-1815)|Pittar, Fanny Krumpholtz (1785-1815)|Composer|Romantic|Pittar|Fanny Krumpholtz Pittar (1785-1815)
fannymendelssohn|Fanny Mendelssohn|Mendelssohn, Fanny|(1805-1847)|Mendelssohn, Fanny (1805-1847)|Composer|Romantic|Mendelssohn|Fanny Mendelssohn (1805-1847)
fantini|Girolamo Fantini|Fantini, Girolamo|(1600-1675)|Fantini, Girolamo (1600-1675)|Composer|Baroque|Fantini|
fantini [it]|Girolamo Fantini [it]|Fantini [it], Girolamo|(c1600-1675)|Fantini [it], Girolamo (c1600-1675)|Composer|Baroque|Fantini [it]|
farinel [de]|Michel Farinel [de]|Farinel [de], Michel|(1649-1726)|Farinel [de], Michel (1649-1726)|Composer|Baroque|Farinel [de]|
farinelli|Giuseppe Farinelli|Farinelli, Giuseppe|(1769-1836)|Farinelli, Giuseppe (1769-1836)|Composer|Classical|Farinelli|
farmer|John Farmer|Farmer, John|(c1565-1605)|Farmer, John (c1565-1605)|Composer|Renaissance|Farmer|
farnaby|Giles Farnaby|Farnaby, Giles|(c1563-1640)|Farnaby, Giles (c1563-1640)|Composer|Renaissance|Farnaby|
farrant|Daniel Farrant|Farrant, Daniel|(c1575-1651)|Farrant, Daniel (c1575-1651)|Composer|Baroque|Farrant|
farrenc|Louise Farrenc|Farrenc, Louise|(1804-1875)|Farrenc, Louise (1804-1875)|Composer|Romantic|Farrenc|
fasch|Carl Friedrich Christian Fasch|Fasch, Carl Friedrich Christian|(1736-1800)|Fasch, Carl Friedrich Christian (1736-1800)|Composer|Classical|Fasch|
fasolo|Giovanni Battista Fasolo|Fasolo, Giovanni Battista|(c1598-c1664)|Fasolo, Giovanni Battista (c1598-c1664)|Composer|Baroque|Fasolo|
fasteddieclarke|Fast Eddie Clarke|Clarke, Fast Eddie||Clarke, Fast Eddie|Composer||Clarke|Clarke, Fast Eddie
faure|Gabriel Fauré|Fauré, Gabriel|(1845-1924)|Fauré, Gabriel (1845-1924)|Composer|Romantic|Fauré|
fayad|Fayad|Fayad||Fayad|Composer||Fayad|Fayad,
fayrfax|Robert Fayrfax|Fayrfax, Robert|(1464-1521)|Fayrfax, Robert (1464-1521)|Composer|Renaissance|Fayrfax|
fedeli|Ruggiero Fedeli|Fedeli, Ruggiero|(c1655-1722) ([7])|Fedeli, Ruggiero (c1655-1722) ([7])|Composer|Baroque|Fedeli|
federigofiorillo|Federigo Fiorillo|Fiorillo, Federigo|(1755-c1823)|Fiorillo, Federigo (1755-c1823)|Composer|Classical|Fiorillo|Federigo Fiorillo (1755-c1823)
feliceanerio|Felice Anerio|Anerio, Felice|(c1560-1614)|Anerio, Felice (c1560-1614)|Composer|Renaissance|Anerio|Anerio, Felice
feliksasbajoras|Feliksas Bajoras|Bajoras, Feliksas|(b1934)|Bajoras, Feliksas (b1934)|Composer|20th Century|Bajoras|Bajoras, Feliksas
felippedrell|Felip Pedrell|Pedrell, Felip|(1841-1922)|Pedrell, Felip (1841-1922)|Composer|Romantic|Pedrell|Felip Pedrell (1841-1922)
felis|Stefano Felis|Felis, Stefano|(1538-1603)|Felis, Stefano (1538-1603)|Composer|Baroque|Felis|
felixbenda|Felix Benda|Benda, Felix|(1708-1768)|Benda, Felix (1708-1768)|Composer|Classical|Benda|Felix Benda (1708-1768)
felixdraeseke|Felix Draeseke|Draeseke, Felix|(1835-1913)|Draeseke, Felix (1835-1913)|Composer|Romantic|Draeseke|Felix Draeseke (1835-1913)
felixmendelssohn|Felix Mendelssohn|Mendelssohn, Felix|(1809-1847)|Mendelssohn, Felix (1809-1847)|Composer|Romantic|Mendelssohn|Mendelssohn, Felix
felixsnow|Felix Snow|Snow, Felix||Snow, Felix|Composer||Snow|Snow, Felix
feo|Francesco Feo|Feo, Francesco|(1691-1761)|Feo, Francesco (1691-1761)|Composer|Classical|Feo|
ferdinanddavid|Ferdinand David|David, Ferdinand|(1810-1873)|David, Ferdinand (1810-1873)|Composer|Romantic|David|Ferdinand David (1810-1873)
ferdinandfranzl|Ferdinand Fränzl|Fränzl, Ferdinand|(1767-1833)|Fränzl, Ferdinand (1767-1833)|Composer|Classical|Fränzl|Ferdinand Fränzl (1767-1833)
ferdinandherold|Ferdinand Hérold|Hérold, Ferdinand|(1791-1833)|Hérold, Ferdinand (1791-1833)|Composer|Romantic|Hérold|Ferdinand Hérold (1791-1833)
ferdinandhiller|Ferdinand Hiller|Hiller, Ferdinand|(1811-1885)|Hiller, Ferdinand (1811-1885)|Composer|Romantic|Hiller|Ferdinand Hiller (1811-1885)
ferdinandiii holyromanemperor|Ferdinand III, Holy Roman Emperor|Emperor, Ferdinand III, Holy Roman|(1608-1657)|Emperor, Ferdinand III, Holy Roman (1608-1657)|Composer|Baroque|Emperor|Ferdinand III, Holy Roman Emperor (1608-1657)
"ferdinandjoseph""jellyrollmorton""lamothe"|"Ferdinand Joseph ""Jelly Roll Morton"" LaMothe"|"LaMothe, Ferdinand Joseph ""Jelly Roll Morton"""|(1890-1941)|"LaMothe, Ferdinand Joseph ""Jelly Roll Morton"" (1890-1941)"|Composer|20th Century|LaMothe|"LaMothe, Ferdinand Joseph ""Jelly Roll Morton"""
ferdinandoantoniolazzari|Ferdinando Antonio Lazzari|Lazzari, Ferdinando Antonio|(1678-1754)|Lazzari, Ferdinando Antonio (1678-1754)|Composer|Classical|Lazzari|Ferdinando Antonio Lazzari (1678-1754)
ferdinandocarulli|Ferdinando Carulli|Carulli, Ferdinando|(1770-1841)|Carulli, Ferdinando (1770-1841)|Composer|Romantic|Carulli|Ferdinando Carulli (1770-1841)
ferdinandodecristofaro|Ferdinando de Cristofaro|Cristofaro, Ferdinando de|(1846-1890)|Cristofaro, Ferdinando de (1846-1890)|Composer|Romantic|Cristofaro|Ferdinando de Cristofaro (1846-1890)
ferdinandogasparoturrini [it]|Ferdinando Gasparo Turrini [it]|Turrini [it], Ferdinando Gasparo|(1745-c1820)|Turrini [it], Ferdinando Gasparo (1745-c1820)|Composer|Classical|Turrini [it]|Ferdinando Gasparo Turrini [it] (1745-c1820)
ferdinandopaer|Ferdinando Paer|Paer, Ferdinando|(1771-1839)|Paer, Ferdinando (1771-1839)|Composer|Romantic|Paer|Ferdinando Paer (1771-1839)
ferdinandorichardson|Ferdinando Richardson|Richardson, Ferdinando|(1558-1618)|Richardson, Ferdinando (1558-1618)|Composer|Baroque|Richardson|Ferdinando Richardson (1558-1618)
ferdinandpraeger|Ferdinand Praeger|Praeger, Ferdinand|(1815-1891)|Praeger, Ferdinand (1815-1891)|Composer|Romantic|Praeger|Ferdinand Praeger (1815-1891)
ferdinandries|Ferdinand Ries|Ries, Ferdinand|(1784-1838)|Ries, Ferdinand (1784-1838)|Composer|Romantic|Ries|Ferdinand Ries (1784-1838)
ferdinandtobiasrichter|Ferdinand Tobias Richter|Richter, Ferdinand Tobias|(1651-1711)|Richter, Ferdinand Tobias (1651-1711)|Composer|Baroque|Richter|Ferdinand Tobias Richter (1651-1711)
ferencerkel|Ferenc Erkel|Erkel, Ferenc|(1810-1893)|Erkel, Ferenc (1810-1893)|Composer|Romantic|Erkel|Ferenc Erkel (1810-1893)
ferencfricsay|Ferenc Fricsay|Fricsay, Ferenc|||Conductor||Fricsay|
ferlendis|Giuseppe Ferlendis|Ferlendis, Giuseppe|(1755-1802)|Ferlendis, Giuseppe (1755-1802)|Composer|Classical|Ferlendis|
fermodantemarchetti|Fermo Dante Marchetti|Marchetti, Fermo Dante|(1876-1940)|Marchetti, Fermo Dante (1876-1940)|Composer|Romantic|Marchetti|Fermo Dante Marchetti (1876-1940)
fernandosor|Fernando Sor|Sor, Fernando|(1778-1839)|Sor, Fernando (1778-1839)|Composer|Romantic|Sor|Fernando Sor (1778-1839)
ferrabosco|Alfonso Ferrabosco|Ferrabosco, Alfonso|(1543-1588)|Ferrabosco, Alfonso (1543-1588)|Composer|Renaissance|Ferrabosco|
ferrari|Benedetto Ferrari|Ferrari, Benedetto|(c1603-1681)|Ferrari, Benedetto (c1603-1681)|Composer|Baroque|Ferrari|
ferretti|Giovanni Ferretti|Ferretti, Giovanni|(1540-after 1609)|Ferretti, Giovanni (1540-after 1609)|Composer|Baroque|Ferretti|
ferrucciobusoni|Ferruccio Busoni|Busoni, Ferruccio|(1866-1924)|Busoni, Ferruccio (1866-1924)|Composer|Romantic|Busoni|Ferruccio Busoni (1866-1924)
fesca|Frederic Ernest Fesca|Fesca, Frederic Ernest|(1789-1826)|Fesca, Frederic Ernest (1789-1826)|Composer|Romantic|Fesca|
fesch|Willem de Fesch|Fesch, Willem de|(1687-1761)|Fesch, Willem de (1687-1761)|Composer|Classical|Fesch|
festing|Michael Christian Festing|Festing, Michael Christian|(1705-1752)|Festing, Michael Christian (1705-1752)|Composer|Classical|Festing|
fevrier|Pierre Février|Février, Pierre|(1696-1760)|Février, Pierre (1696-1760)|Composer|Classical|Février|
fiala|Josef Fiala|Fiala, Josef|(1748-1816)|Fiala, Josef (1748-1816)|Composer|Classical|Fiala|
fibich|Zdeněk Fibich|Fibich, Zdeněk|(1850-1900)|Fibich, Zdeněk (1850-1900)|Composer|Romantic|Fibich|
field|John Field|Field, John|(1782-1837)|Field, John (1782-1837)|Composer|Romantic|Field|
filipedamadrededeus|Filipe da Madre de Deus|Deus, Filipe da Madre de|(c1630-c1688 or later)|Deus, Filipe da Madre de (c1630-c1688 or later)|Composer|Baroque|Deus|Filipe da Madre de Deus (c1630-c1688 or later)
filipedemagalhaes|Filipe de Magalhães|Magalhães, Filipe de|(c1571-1652)|Magalhães, Filipe de (c1571-1652)|Composer|Baroque|Magalhães|Filipe de Magalhães (c1571-1652)
"filippoamadei""pippodelvioloncello"""|"Filippo Amadei, ""Pippo del Violoncello"""|"Violoncello"", Filippo Amadei, ""Pippo del"|(c1665-c1725)|"Violoncello"", Filippo Amadei, ""Pippo del (c1665-c1725)"|Composer|Baroque|"Violoncello"""|"Filippo Amadei, ""Pippo del Violoncello"" (c1665-c1725)"
filippogragnani|Filippo Gragnani|Gragnani, Filippo|(1768-1820)|Gragnani, Filippo (1768-1820)|Composer|Classical|Gragnani|Filippo Gragnani (1768-1820)
filippotommasomarinetti|Filippo Tommaso Marinetti|Marinetti, Filippo Tommaso|(1876-1944)|Marinetti, Filippo Tommaso (1876-1944)|Composer|Romantic|Marinetti|Filippo Tommaso Marinetti (1876-1944)
fillmore|Henry Fillmore|Fillmore, Henry|(1881-1956)|Fillmore, Henry (1881-1956)|Composer|20th Century|Fillmore|
fils|Jean-Baptiste Forqueray le fils|fils, Jean-Baptiste Forqueray le|(1699-1782)|fils, Jean-Baptiste Forqueray le (1699-1782)|Composer|Classical|fils|
finger|Gottfried Finger|Finger, Gottfried|(1660-1730)|Finger, Gottfried (1660-1730)|Composer|Baroque|Finger|
finzi|Graciane Finzi|Finzi, Graciane|(b1945)|Finzi, Graciane (b1945)|Composer|20th Century|Finzi|
fiocco|Jean-Joseph Fiocco|Fiocco, Jean-Joseph|(1686-1746)|Fiocco, Jean-Joseph (1686-1746)|Composer|Baroque|Fiocco|
fioravanti|Valentino Fioravanti|Fioravanti, Valentino|(1764-1837)|Fioravanti, Valentino (1764-1837)|Composer|Classical|Fioravanti|
fiorenza|Nicola Fiorenza|Fiorenza, Nicola|(after 1700-1764)|Fiorenza, Nicola (after 1700-1764)|Composer|Classical|Fiorenza|
fiorillo|Federigo Fiorillo|Fiorillo, Federigo|(1755-c1823)|Fiorillo, Federigo (1755-c1823)|Composer|Classical|Fiorillo|
firminuscaron|Firminus Caron|Caron, Firminus|(fl1460-1475)|Caron, Firminus (fl1460-1475)|Composer|Renaissance|Caron|Caron, Firminus
fischer|Johann Caspar Ferdinand Fischer|Fischer, Johann Caspar Ferdinand|(1656-1746)|Fischer, Johann Caspar Ferdinand (1656-1746)|Composer|Baroque|Fischer|
fischietti|Domenico Fischietti|Fischietti, Domenico|(c1725-c1810)|Fischietti, Domenico (c1725-c1810)|Composer|Classical|Fischietti|
fisher|Fisher|Fisher||Fisher|Composer||Fisher|Fisher,
fjellheim|Frode Fjellheim|Fjellheim, Frode|(b1959)|Fjellheim, Frode (b1959)|Composer|20th Century|Fjellheim|
flaccomio|Giovanni Pietro Flaccomio|Flaccomio, Giovanni Pietro|(1565-1617)|Flaccomio, Giovanni Pietro (1565-1617)|Composer|Baroque|Flaccomio|
fleischmann|Johann Friedrich Anton Fleischmann|Fleischmann, Johann Friedrich Anton|(1766-1798)|Fleischmann, Johann Friedrich Anton (1766-1798)|Composer|Classical|Fleischmann|
floorjansen|Floor Jansen|Jansen, Floor||Jansen, Floor|Composer||Jansen|Jansen, Floor
floquet|Étienne-Joseph Floquet|Floquet, Étienne-Joseph|(1748-1785)|Floquet, Étienne-Joseph (1748-1785)|Composer|Classical|Floquet|
flor [de]|Christian Flor [de]|Flor [de], Christian|(1626-1697)|Flor [de], Christian (1626-1697)|Composer|Baroque|Flor [de]|
floralpaerts|Flor Alpaerts|Alpaerts, Flor|(1876-1954)|Alpaerts, Flor (1876-1954)|Composer|Romantic|Alpaerts|Flor Alpaerts (1876-1954)
florentschmitt|Florent Schmitt|Schmitt, Florent|(1870-1958)|Schmitt, Florent (1870-1958)|Composer|Romantic|Schmitt|Florent Schmitt (1870-1958)
florianleopoldgassmann|Florian Leopold Gassmann|Gassmann, Florian Leopold|(1729-1774)|Gassmann, Florian Leopold (1729-1774)|Composer|Classical|Gassmann|Florian Leopold Gassmann (1729-1774)
flotow|Friedrich von Flotow|Flotow, Friedrich von|(1812-1883)|Flotow, Friedrich von (1812-1883)|Composer|Romantic|Flotow|
flower|Eliza Flower|Flower, Eliza|(1803-1846)|Flower, Eliza (1803-1846)|Composer|Romantic|Flower|
floydmcrae|Floyd McRae|McRae, Floyd||McRae, Floyd|Composer||McRae|McRae, Floyd
fmatheeuwsen|F. Matheeuwsen|Matheeuwsen, F.||Matheeuwsen, F.|Composer||Matheeuwsen|Matheeuwsen, F.
fodor|Carel Anton Fodor|Fodor, Carel Anton|(1768-1846)|Fodor, Carel Anton (1768-1846)|Composer|Classical|Fodor|
foggia|Francesco Foggia|Foggia, Francesco|(1603-1688)|Foggia, Francesco (1603-1688)|Composer|Baroque|Foggia|
fomin|Yevstigney Fomin|Fomin, Yevstigney|(1761-1800)|Fomin, Yevstigney (1761-1800)|Composer|Classical|Fomin|
fontana|Fabrizio Fontana|Fontana, Fabrizio|(d1695)|Fontana, Fabrizio (d1695)|Composer|Baroque|Fontana|
fontanelli|Alfonso Fontanelli|Fontanelli, Alfonso|(1557-1622)|Fontanelli, Alfonso (1557-1622)|Composer|Baroque|Fontanelli|
ford|Thomas Ford|Ford, Thomas|(c1580-1648)|Ford, Thomas (c1580-1648)|Composer|Renaissance|Ford|
forest|John Forest|Forest, John|(13??-14??)|Forest, John (13??-14??)|Composer|Renaissance|Forest|
forkel|Johann Nikolaus Forkel|Forkel, Johann Nikolaus|(1749-1818)|Forkel, Johann Nikolaus (1749-1818)|Composer|Classical|Forkel|
forme|Nicolas Formé|Formé, Nicolas|(1567-1638)|Formé, Nicolas (1567-1638)|Composer|Baroque|Formé|
forqueray|Antoine Forqueray|Forqueray, Antoine|(1671-1745)|Forqueray, Antoine (1671-1745)|Composer|Baroque|Forqueray|
forrest|Forrest|Forrest||Forrest|Composer||Forrest|Forrest,
forster|Emanuel Aloys Förster|Förster, Emanuel Aloys|(1748-1823)|Förster, Emanuel Aloys (1748-1823)|Composer|Classical|Förster|
forsythe|Malcolm Forsythe|Forsythe, Malcolm|(1936-2011)|Forsythe, Malcolm (1936-2011)|Composer|20th Century|Forsythe|
fortsch|Johann Philipp Förtsch|Förtsch, Johann Philipp|(1652-1732)|Förtsch, Johann Philipp (1652-1732)|Composer|Baroque|Förtsch|
fortunatochelleri|Fortunato Chelleri|Chelleri, Fortunato|(1690-1757)|Chelleri, Fortunato (1690-1757)|Composer|Classical|Chelleri|Fortunato Chelleri (1690-1757)
fossa|François de Fossa|Fossa, François de|(1775-1849)|Fossa, François de (1775-1849)|Composer|Romantic|Fossa|
foster|Stephen Foster|Foster, Stephen|(1826-1864)|Foster, Stephen (1826-1864)|Composer|Romantic|Foster|
foucquet|Pierre-Claude Foucquet|Foucquet, Pierre-Claude|(1694-1772)|Foucquet, Pierre-Claude (1694-1772)|Composer|Classical|Foucquet|
francescacaccini|Francesca Caccini|Caccini, Francesca|(1587-c1640)|Caccini, Francesca (1587-c1640)|Composer|Baroque|Caccini|Francesca Caccini (1587-c1640)
francescacampana|Francesca Campana|Campana, Francesca|(c1615-1665)|Campana, Francesca (c1615-1665)|Composer|Baroque|Campana|Francesca Campana (c1615-1665)
francescalebrun also franziskadanzilebrun|Francesca Lebrun also Franziska Danzi Lebrun|Lebrun, Francesca Lebrun also Franziska Danzi|(1756-1791)|Lebrun, Francesca Lebrun also Franziska Danzi (1756-1791)|Composer|Classical|Lebrun|Francesca Lebrun also Franziska Danzi Lebrun (1756-1791)
francescguerau|Francesc Guerau|Guerau, Francesc|(1649-1717/1722)|Guerau, Francesc (1649-1717/1722)|Composer|Baroque|Guerau|Francesc Guerau (1649-1717/1722)
franceschini|Petronio Franceschini|Franceschini, Petronio|(1651-1680)|Franceschini, Petronio (1651-1680)|Composer|Baroque|Franceschini|
francescoantoniobonporti|Francesco Antonio Bonporti|Bonporti, Francesco Antonio|(1672-1749)|Bonporti, Francesco Antonio (1672-1749)|Composer|Baroque|Bonporti|Francesco Antonio Bonporti (1672-1749)
francescoantoniopistocchi|Francesco Antonio Pistocchi|Pistocchi, Francesco Antonio|(1659-1726)|Pistocchi, Francesco Antonio (1659-1726)|Composer|Baroque|Pistocchi|Francesco Antonio Pistocchi (1659-1726)
francescoantoniourio|Francesco Antonio Urio|Urio, Francesco Antonio|(1631/1632-c1719)|Urio, Francesco Antonio (1631/1632-c1719)|Composer|Baroque|Urio|Francesco Antonio Urio (1631/1632-c1719)
francescoantoniovallotti|Francesco Antonio Vallotti|Vallotti, Francesco Antonio|(1697-1780)|Vallotti, Francesco Antonio (1697-1780)|Composer|Classical|Vallotti|Francesco Antonio Vallotti (1697-1780)
francescoaraja|Francesco Araja|Araja, Francesco|(1709-after 1762)|Araja, Francesco (1709-after 1762)|Composer|Classical|Araja|Francesco Araja (1709-after 1762)
francescoazopardi|Francesco Azopardi|Azopardi, Francesco|(1748-1809)|Azopardi, Francesco (1748-1809)|Composer|Classical|Azopardi|Francesco Azopardi (1748-1809)
francescoballaroti|Francesco Ballaroti|Ballaroti, Francesco|(c1660-1712) ([11])|Ballaroti, Francesco (c1660-1712) ([11])|Composer|Baroque|Ballaroti|Francesco Ballaroti (c1660-1712) ([11])
francescobarsanti|Francesco Barsanti|Barsanti, Francesco|(1690-1772)|Barsanti, Francesco (1690-1772)|Composer|Classical|Barsanti|Francesco Barsanti (1690-1772)
francescobartolomeoconti|Francesco Bartolomeo Conti|Conti, Francesco Bartolomeo|(1681-1732)|Conti, Francesco Bartolomeo (1681-1732)|Composer|Baroque|Conti|Francesco Bartolomeo Conti (1681-1732)
francescobianchi|Francesco Bianchi|Bianchi, Francesco|(1752-1810)|Bianchi, Francesco (1752-1810)|Composer|Classical|Bianchi|Francesco Bianchi (1752-1810)
francescobiscogli|Francesco Biscogli|Biscogli, Francesco|(after 1700-after 1750)|Biscogli, Francesco (after 1700-after 1750)|Composer|Baroque|Biscogli|Francesco Biscogli (after 1700-after 1750)
francescocanovadamilano|Francesco Canova da Milano|Canova da Milano, Francesco|(1497-1543)|Canova da Milano, Francesco (1497-1543)|Composer|Renaissance|Milano|Milano, Francesco Canova da
francescocavalli|Francesco Cavalli|Cavalli, Francesco|(1602-1676)|Cavalli, Francesco (1602-1676)|Composer|Baroque|Cavalli|Francesco Cavalli (1602-1676)
francescocilea|Francesco Cilea|Cilea, Francesco|(1866-1950)|Cilea, Francesco (1866-1950)|Composer|Romantic|Cilea|Francesco Cilea (1866-1950)
francescocolombini [de]|Francesco Colombini [de]|Colombini [de], Francesco|(1588-1671)|Colombini [de], Francesco (1588-1671)|Composer|Baroque|Colombini [de]|Francesco Colombini [de] (1588-1671)
francescocorbetta|Francesco Corbetta|Corbetta, Francesco|(c1615-1681)|Corbetta, Francesco (c1615-1681)|Composer|Baroque|Corbetta|Francesco Corbetta (c1615-1681)
francescodurante|Francesco Durante|Durante, Francesco|(1684-1755)|Durante, Francesco (1684-1755)|Composer|Classical|Durante|Francesco Durante (1684-1755)
francescofeo|Francesco Feo|Feo, Francesco|(1691-1761)|Feo, Francesco (1691-1761)|Composer|Classical|Feo|Francesco Feo (1691-1761)
francescofoggia|Francesco Foggia|Foggia, Francesco|(1603-1688)|Foggia, Francesco (1603-1688)|Composer|Baroque|Foggia|Francesco Foggia (1603-1688)
francescogardi [it]|Francesco Gardi [it]|Gardi [it], Francesco|(c1760-c1810)|Gardi [it], Francesco (c1760-c1810)|Composer|Classical|Gardi [it]|Francesco Gardi [it] (c1760-c1810)
francescogasparini|Francesco Gasparini|Gasparini, Francesco|(1661-1727)|Gasparini, Francesco (1661-1727)|Composer|Baroque|Gasparini|Francesco Gasparini (1661-1727)
francescogeminiani|Francesco Geminiani|Geminiani, Francesco|(1687-1762)|Geminiani, Francesco (1687-1762)|Composer|Baroque|Geminiani|Geminiani, Francesco
francescognecco [it]|Francesco Gnecco [it]|Gnecco [it], Francesco|(1769-c1810)|Gnecco [it], Francesco (1769-c1810)|Composer|Classical|Gnecco [it]|Francesco Gnecco [it] (1769-c1810)
francescoguami|Francesco Guami|Guami, Francesco|(1544-1602)|Guami, Francesco (1544-1602)|Composer|Baroque|Guami|Francesco Guami (1544-1602)
francescolandini|Francesco Landini|Landini, Francesco|(13??)|Landini, Francesco (13??)|Composer|Medieval|Landini|Landini, Francesco
francescomancini|Francesco Mancini|Mancini, Francesco|(1672-1737)|Mancini, Francesco (1672-1737)|Composer|Baroque|Mancini|Francesco Mancini (1672-1737)
francescomanelli|Francesco Manelli|Manelli, Francesco|(1594-1667)|Manelli, Francesco (1594-1667)|Composer|Baroque|Manelli|Francesco Manelli (1594-1667)
francescomanfredini|Francesco Manfredini|Manfredini, Francesco|(1684-1762)|Manfredini, Francesco (1684-1762)|Composer|Classical|Manfredini|Francesco Manfredini (1684-1762)
francescomariaveracini|Francesco Maria Veracini|Veracini, Francesco Maria|(1690-1768)|Veracini, Francesco Maria (1690-1768)|Composer|Baroque|Veracini|Veracini, Francesco Maria
francescomorlacchi|Francesco Morlacchi|Morlacchi, Francesco|(1784-1841)|Morlacchi, Francesco (1784-1841)|Composer|Romantic|Morlacchi|Francesco Morlacchi (1784-1841)
francesconicolafago|Francesco Nicola Fago|Fago, Francesco Nicola|(1677-1745)|Fago, Francesco Nicola (1677-1745)|Composer|Baroque|Fago|Francesco Nicola Fago (1677-1745)
francescoprovenzale|Francesco Provenzale|Provenzale, Francesco|(1624-1704)|Provenzale, Francesco (1624-1704)|Composer|Baroque|Provenzale|Francesco Provenzale (1624-1704)
francescorasi|Francesco Rasi|Rasi, Francesco|(1574-1621)|Rasi, Francesco (1574-1621)|Composer|Baroque|Rasi|Francesco Rasi (1574-1621)
francescorognoni|Francesco Rognoni|Rognoni, Francesco|(1585-after 1626)|Rognoni, Francesco (1585-after 1626)|Composer|Baroque|Rognoni|Francesco Rognoni (1585-after 1626)
francescosacrati|Francesco Sacrati|Sacrati, Francesco|(1605-1650)|Sacrati, Francesco (1605-1650)|Composer|Baroque|Sacrati|Francesco Sacrati (1605-1650)
francescosaveriogiaior giaj|Francesco Saverio Giai, or Giaj|or Giaj, Francesco Saverio Giai,|(1729-1801) ([4], [5])|or Giaj, Francesco Saverio Giai, (1729-1801) ([4], [5])|Composer|Classical|or Giaj|Francesco Saverio Giai, or Giaj (1729-1801) ([4], [5])
francescoscarlatti|Francesco Scarlatti|Scarlatti, Francesco|(1666-c1741)|Scarlatti, Francesco (1666-c1741)|Composer|Baroque|Scarlatti|Francesco Scarlatti (1666-c1741)
francescosoriano|Francesco Soriano|Soriano, Francesco|(1548/9-1621)|Soriano, Francesco (1548/9-1621)|Composer|Renaissance|Soriano|Soriano, Francesco
francescosotodelanga|Francesco Soto de Langa|Langa, Francesco Soto de|(1534-1619)|Langa, Francesco Soto de (1534-1619)|Composer|Baroque|Langa|Francesco Soto de Langa (1534-1619)
francescospinacino|Francesco Spinacino|Spinacino, Francesco|(15??)|Spinacino, Francesco (15??)|Composer|Renaissance|Spinacino|Spinacino, Francesco
francescoturini|Francesco Turini|Turini, Francesco|(1589-1656)|Turini, Francesco (1589-1656)|Composer|Baroque|Turini|Francesco Turini (1589-1656)
francescousperor francescosponga|Francesco Usper, or Francesco Sponga|Sponga, Francesco Usper, or Francesco|(1561-1641)|Sponga, Francesco Usper, or Francesco (1561-1641)|Composer|Baroque|Sponga|Francesco Usper, or Francesco Sponga (1561-1641)
francescouttini|Francesco Uttini|Uttini, Francesco|(1723-1795)|Uttini, Francesco (1723-1795)|Composer|Classical|Uttini|Francesco Uttini (1723-1795)
francescoventurini|Francesco Venturini|Venturini, Francesco|(c1675-1745)|Venturini, Francesco (c1675-1745)|Composer|Baroque|Venturini|Francesco Venturini (c1675-1745)
francescozappa|Francesco Zappa|Zappa, Francesco|(1717-1803)|Zappa, Francesco (1717-1803)|Composer|Classical|Zappa|Francesco Zappa (1717-1803)
franchi|Carlo Franchi|Franchi, Carlo|(c1743-after 1779)|Franchi, Carlo (c1743-after 1779)|Composer|Classical|Franchi|
francisci|Jan Francisci|Francisci, Jan|(1691-1758)|Francisci, Jan (1691-1758)|Composer|Classical|Francisci|
franciscoantoniodealmeida|Francisco António de Almeida|Almeida, Francisco António de|(1702-1755)|Almeida, Francisco António de (1702-1755)|Composer|Classical|Almeida|Francisco António de Almeida (1702-1755)
franciscocorreadearauxo|Francisco Correa de Arauxo|Arauxo, Francisco Correa de|(1584-1654)|Arauxo, Francisco Correa de (1584-1654)|Composer|Baroque|Arauxo|Francisco Correa de Arauxo (1584-1654)
